ENCERRAMENTO;UF;MUNICIPIO;QTE;ATIVIDADE
01/02/2022;RJ;RIO DE JANEIRO;3;REMANEJAMENTO - BL E VOIP E IPTV
01/02/2022;RJ;SAO JOAO DE MERITI;4;REMANEJAMENTO - BL E VOIP
01/02/2022;RJ;VALENCA;1;REMANEJAMENTO - BL E VOIP
01/02/2022;RJ;VOLTA REDONDA;3;REMANEJAMENTO - BL E VOIP
01/02/2022;RS;ALVORADA;1;REMANEJAMENTO - BL E VOIP E IPTV
01/02/2022;SC;BLUMENAU;2;REMANEJAMENTO - VOIP
01/03/2021;AC;RIO BRANCO;3;REMANEJAMENTO - BL E VOIP
01/03/2021;AM;MANAUS;1;REMANEJAMENTO - BL E VOIP E IPTV
01/03/2021;DF;BRASILIA;11;REMANEJAMENTO - BL E VOIP
01/03/2021;MG;CATAGUASES;1;REMANEJAMENTO - BL
01/03/2021;MG;GOVERNADOR VALADARES;2;REMANEJAMENTO - BL E VOIP
01/03/2021;MG;MONTES CLAROS;1;REMANEJAMENTO - BL E VOIP E IPTV
01/03/2021;MG;SETE LAGOAS;3;REMANEJAMENTO - BL E VOIP
01/03/2021;MG;UBA;1;REMANEJAMENTO - BL
01/03/2021;PR;COLOMBO;1;REMANEJAMENTO - BL E VOIP E IPTV
01/03/2021;PR;MARINGA;1;REMANEJAMENTO - BL E VOIP E IPTV
01/03/2021;PR;PONTA GROSSA;4;REMANEJAMENTO - BL
01/03/2021;RJ;CABO FRIO;4;REMANEJAMENTO - BL
01/03/2021;RJ;DUQUE DE CAXIAS;11;REMANEJAMENTO - BL E VOIP
01/03/2021;RJ;NITEROI;4;REMANEJAMENTO - BL E VOIP
01/03/2021;RJ;NOVA IGUACU;1;REMANEJAMENTO - BL
01/03/2021;RJ;PETROPOLIS;6;REMANEJAMENTO - BL
01/03/2021;RJ;PETROPOLIS;2;REMANEJAMENTO - VOIP
01/03/2021;RJ;RIO DE JANEIRO;15;REMANEJAMENTO - BL
01/03/2021;RJ;SAO JOAO DE MERITI;4;REMANEJAMENTO - BL
01/03/2021;RJ;VOLTA REDONDA;3;REMANEJAMENTO - BL
01/03/2021;RS;ALVORADA;2;REMANEJAMENTO - BL
01/03/2021;RS;CANOAS;2;REMANEJAMENTO - BL E VOIP
01/03/2021;SC;CHAPECO;1;REMANEJAMENTO - BL E VOIP
01/04/2021;BA;EUNAPOLIS;2;REMANEJAMENTO - BL E VOIP
01/04/2021;BA;SALVADOR;1;REMANEJAMENTO - BL E VOIP E IPTV
